Name,TaxID
Chiromyiformes,376916
Lemuriformes,376915
Haplorrhini,376913
Tarsiiformes,376912
Strepsirrhini,376911
Procolobus verus,373033
Colobus guereza occidentalis,373032
Colobus guereza caudatus,373031
Colobus guereza matschiei,373030
Rungwecebus kipunji,371039
Rungwecebus,371038
Aotus brumbacki,361674
Saguinus martinsi,356666
Saguinus niger,356665
Microcebus lehilahytsara,343908
Leontocebus fuscicollis weddelli,343424
Brachyteles hypoxanthus,342807
Lepilemur ankaranensis,342401
Lepilemur aeeclis,342399
Lepilemur sahamalazensis,342398
Mirza zaza,339999
Otolemur monteiri argentatus,337214
Otolemur monteiri monteiri,337213
Otolemur monteiri,337212
Galagoides orinus,337210
Colobus angolensis palliatus,336983
Nomascus nasutus,327374
Colobus sp. MB-2005,325172
Hoolock,325167
Symphalangus,325166
Nomascus,325165
Palaeopropithecus sp. KPK-2005,322027
Palaeopropithecus sp. UA6184,322026
Palaeopropithecus sp. UA4466,322025
Palaeopropithecus,322024
Megaladapis sp. UA4822,322023
Megaladapis sp. UA4821,322022
Megaladapis sp. UA4823,322021
Megaladapis sp. UA5482,322020
Hominoidea,314295
Cercopithecoidea,314294
Simiiformes,314293
Nycticebus javanicus,310934
Nycticebus coucang coucang,310933
Nycticebus menagensis,310932
Pygathrix nigripes,310352
Cercopithecus campbelli lowei,304410
Cercopithecus erythrogaster erythrogaster,304409
Cercopithecus campbelli,303588
Pygathrix nemaeus nemaeus,303485
Loris lydekkerianus malabaricus,300166
Loris lydekkerianus,300163
Arctocebus aureus,300161
Aotus griseimembra,292213
Cheirogaleus crossleyi,291259
Saguinus leucopus,290597
Hylobates sp. AMA-2004,288892
Colobus sp. DTG-2004,288544
Pithecia pithecia pithecia,285955
Plecturocebus donacophilus donacophilus,285954
Papio sp. Africa-2004,285280
Macaca balantak x tonkeana,281405
Macaca balantak,281404
Hylobates sp. IGL-2004,280856
Aotus azarai boliviensis,280755
Chiropotes israelita,280163
Chiropotes utahickae,280160
Ateles sp. JPV-2004,278713
Trachypithecus phayrei crepuscula,272121
Trachypithecus phayrei phayrei,272120
Trachypithecus francoisi francoisi,272119
Trachypithecus auratus auratus,272118
Presbytis melalophos mitrata,272115
Presbytis comata comata,272114
Trachypithecus barbei,271261
Trachypithecus germaini,271260
Microcebus sp. EELHDZ VEV35,270675
Microcebus sp. EELHDZ VEV33,270674
Microcebus sp. EELHDZ TAD23,270540
Microcebus sp. EELHDZ M98,270538
Ateles sp. KO-2004,269772
Cercopithecus wolfi,263448
Nycticebus bengalensis,261741
Loris tardigradus nordicus,261740
Arctocebus calabarensis,261739
Arctocebus,261738
Perodicticus potto ibeanus,261737
Euoticus elegantulus,261736
Euoticus,261735
Phaner furcifer,261734
Phaner,261733
Galago gabonensis,261731
Aotus sp. PDE-2004,261316
Saguinus sp. T1030,260575
Macaca thibetana thibetana,257877
Cercocebus agilis,255237
Macaca siberu,244255
Lepilemur seali,236288
Lepilemur mitsinjoensis,236287
Microcebus jollyae,236275
Microcebus mittermeieri,236274
Microcebus simmonsi,236272
Aotus sp. (in: primates),231953
Plecturocebus donacophilus,230833
Macaca pagensis,230653
Rhinopithecus brelichi,224329
Aotus sp. NIM-2003,222417
Trachypithecus auratus,222416
Callithrix sp. DB-2003,217956
Papio anubis anubis,211508
Cheracebus lugens,210166
Papio cynocephalus x Papio anubis,208510
Papio kindae,208091
Papio ursinus griseipes,208090
Papio ursinus ursinus,208089
Homininae,207598
Chiropotes satanas x albinasus,202458
Plecturocebus cupreus,202457
Mico saterei,198702
Mico cf. emiliae,198701
Chiropotes albinasus,198627
Alouatta macconnelli,198115
Saimiri sciureus collinsi,198114
Cercopithecus petaurista buettikoferi,192893
Cercopithecus pogonias grayi,192863
Cercopithecus petaurista petaurista,192862
Cercopithecus mona campbelli,192861
Cercopithecus cephus cephus,192860
Cercopithecus cephus cephodes,192859
Cercopithecus ascanius whitesidei,192858
Cercopithecus ascanius schmidti,192857
Cercopithecus ascanius katangae,192856
Cercopithecus ascanius ascanius,192855
